id	section	claim	numbers	source	verified_by	date	status
C01	5_edge cascade	Gate at .50, 1 Hz cuts the student's false clips 0.18->0.10, recall 0.74->0.61	0.175->0.100; 0.742->0.613	results/deployed_cascade_test_centercrop.tsv (deployed t1@384 rows)	ICRA2027-edge; Codex corrected_cascades.tsv dense_n	2026-09-12	verified
C02	5_edge cascade	RF-DETR-n behind the gate: 0.74 [0.58,0.90] rip videos, 0.08 [0.00,0.18] false clips (Orin, RPi 5); ungated 0.38 false	27/31 ungated -> 23/31 gated, 3/40; 15/40 ungated	deployed_cascade_test_centercrop.tsv (RF-DETR-n INTER_AREA rows); corrected_cascades.tsv row06/row10	ICRA2027-edge; Codex	2026-09-12	verified
C03	5_edge cascade	dense yolo26s 0.61 rip / 0.13 false; expert yolo26s 0.65 / 0.13 (tight confs .02/.07)	19/31,5/40; 20/31,5/40	deployed_cascade_test_centercrop.tsv v2; corrected_cascades.tsv dense_s / row09	ICRA2027-edge; Codex-critic (09-12 index)	2026-09-12	verified
C04	5_edge perboard	Cached pipeline latencies: RF-n 44 ms Orin 7 W (41.8-50.2 over 5), 400 ms RPi 5, 1646/1754 ms RPi 4; expert-s 411/424 ms RPi 4, 53 ms Nano; QAT2 46 ms FRDM	see numbers	results/device/integrated_measurements.tsv; imx95_frdm_measurements_20260912/cases/qat2/qat2/latency.tsv	ICRA2027-edge	2026-09-12	verified; FRDM 46 ms = cached pipeline at decode_conf .25 (excludes result conversion), not camera/exposure-to-alert latency (Codex-critic 2026-09-12)
C05	5_edge NPU	QAT2 native test F2 0.503 vs FP32 0.498, paired +0.005 [-0.004,+0.015]	.5032667/.4980662	results/device/imx95_npu_test_metrics.json; Codex-critic nxp_quality_scalar_audit.json	Codex-critic	2026-09-12	verified
C06	5_edge camera	Gated no-rip unit power: Orin 6.72, Nano 5.61, Pro 9.58, RPi 5 5.62, RPi 4 heatsink 5.21 W (Pi 4 camera runs = dense yolo26n); RPi 5 gate saves 44 % (10.10->5.62)	see numbers	results/camera_policy_rows.tsv <- results/device/camera_rows.tsv + pi4 result.json; Codex-critic camera_scalar_audit.json	ICRA2027-edge; Codex-critic	2026-09-12	verified; Pi 4 camera windows formally ACCEPTED: device_results/paper_writing_20260912/PI4_CAMERA_ACCEPTANCE_V1.json (16 windows, 112 hashes; source records unedited); whole camera table independently re-audited (Codex-critic camera_table_audit 2026-09-12: 55 rows, 434 artifact hashes, 0 mismatches)
C07	5_edge camera	Max-throughput decisions/s: Orin 18.6 (MAXN, RF-n), Nano 7.7 (expert-s), Pro 20.3 (QAT2), RPi 5 1.8 (RF-n), RPi 4 4.4 (dense yolo26n)	see table	camera_policy_rows.tsv	ICRA2027-edge	2026-09-12	verified numbers; interpretation = single-task ceiling only (Codex-critic); whole camera table independently re-audited (Codex-critic camera_table_audit 2026-09-12: 55 rows, 434 artifact hashes, 0 mismatches)
C08	5_edge budget	Illustrative budget: Orin gated no-rip 6.72 W -> 161 Wh/d, 58 W panel, 504 Wh (LFP DoD 0.8); RPi 4 heatsink 5.21 W -> 125 Wh/d, 45 W, 391 Wh; prices exclude board+camera and are not stated in the paper	see numbers	code/deployment_budget.py 2026-09-12	ICRA2027-edge; Codex-critic (disputed items removed)	2026-09-12	verified (illustrative); retained in Section IV.F (my 2026-09-14 22:32 'dropped' annotation was wrong: an escaped percent earlier on the line made my comment-stripping token scan drop the line; corrected on Codex-critic's overnight_build_table_review)
C09	5_edge tier	RPi 4 RF-DETR-n at 0.2 Hz behind the gate: 0.68 rip / 0.08 false (descriptive)	21/31, 3/40	results/device/corrected_cascades.tsv row02/row04	ICRA2027-edge	2026-09-12	verified (descriptive; fits-rule unchanged)
C10	5_edge protocol	Fidelity: four predeclared configs within 0.0002 F2 of x86 deployed graph; RF-n/s/m INTER_AREA export gates +0.005/+0.010/+0.004; expert-s -0.008 (Codex-critic recompute: .5064 vs .4986); RF-s cross-board 0.002	see numbers	results/device_eval_*.tsv (09-04); rfdetr_parity_val.tsv; export_fidelity_val.tsv; device_accuracy.tsv row07 vs row11	ICRA2027-edge	2026-09-12	verified
